iter	Passed	Remaining
1347	35040	12347
1348	35070	12322
1349	35094	12296
1350	35118	12269
1351	35140	12241
1352	35162	12214
1353	35184	12187
1354	35205	12159
1355	35234	12134
1356	35257	12107
1357	35284	12082
1358	35306	12054
1359	35332	12028
1360	35359	12002
1361	35382	11975
1362	35406	11949
1363	35427	11921
1364	35452	11895
1365	35472	11867
1366	35498	11841
1367	35526	11816
1368	35551	11789
1369	35575	11763
1370	35600	11737
1371	35624	11710
1372	35648	11683
1373	35675	11658
1374	35700	11631
1375	35723	11605
1376	35754	11580
1377	35778	11553
1378	35798	11525
1379	35819	11498
1380	35845	11472
1381	35871	11446
1382	35894	11419
1383	35918	11393
1384	35940	11366
1385	35974	11342
1386	35999	11316
1387	36025	11290
1388	36049	11263
1389	36076	11238
1390	36101	11211
1391	36123	11184
1392	36147	11158
1393	36171	11131
1394	36194	11104
1395	36218	11078
1396	36243	11052
1397	36271	11026
1398	36297	11000
1399	36322	10974
1400	36345	10947
1401	36374	10922
1402	36400	10896
1403	36423	10869
1404	36449	10844
1405	36476	10818
1406	36499	10791
1407	36521	10764
1408	36550	10739
1409	36575	10713
1410	36602	10687
1411	36625	10660
1412	36649	10634
1413	36672	10607
1414	36694	10580
1415	36715	10553
1416	36741	10527
1417	36770	10502
1418	36794	10475
1419	36817	10448
1420	36844	10423
1421	36867	10396
1422	36890	10369
1423	36912	10342
1424	36937	10316
1425	36960	10289
1426	36991	10265
1427	37015	10238
1428	37039	10212
1429	37067	10186
1430	37094	10161
1431	37117	10134
1432	37141	10108
1433	37161	10080
1434	37184	10054
1435	37208	10027
1436	37233	10001
1437	37260	9975
1438	37284	9949
1439	37307	9922
1440	37330	9896
1441	37356	9870
1442	37385	9845
1443	37410	9818
1444	37433	9792
1445	37457	9765
1446	37482	9739
1447	37507	9713
1448	37532	9687
1449	37558	9661
1450	37580	9634
1451	37605	9608
1452	37630	9582
1453	37653	9555
1454	37676	9529
1455	37708	9504
1456	37732	9478
1457	37757	9452
1458	37776	9424
1459	37799	9398
1460	37822	9371
1461	37846	9345
1462	37870	9318
1463	37900	9293
1464	37922	9266
1465	37952	9242
1466	37975	9215
1467	37998	9188
1468	38023	9162
1469	38055	9138
1470	38086	9113
1471	38109	9087
1472	38134	9061
1473	38160	9035
1474	38184	9008
1475	38206	8982
1476	38228	8955
1477	38249	8928
1478	38272	8901
1479	38296	8875
1480	38327	8850
1481	38349	8824
1482	38372	8797
1483	38396	8771
1484	38421	8745
1485	38447	8719
1486	38472	8693
1487	38493	8666
1488	38515	8639
1489	38540	8613
1490	38564	8587
1491	38590	8561
1492	38612	8534
1493	38635	8508
1494	38661	8482
1495	38685	8455
1496	38707	8429
1497	38734	8403
1498	38757	8377
1499	38782	8351
1500	38807	8325
1501	38836	8299
1502	38862	8274
1503	38886	8247
1504	38915	8222
1505	38939	8196
1506	38963	8170
1507	38988	8144
1508	39017	8118
1509	39041	8092
1510	39067	8066
1511	39095	8041
1512	39118	8015
1513	39140	7988
1514	39174	7964
1515	39196	7937
1516	39217	7910
1517	39243	7884
1518	39267	7858
1519	39287	7831
1520	39307	7804
1521	39329	7778
1522	39355	7752
1523	39380	7726
1524	39404	7700
1525	39427	7673
1526	39449	7647
1527	39472	7620
1528	39498	7594
1529	39522	7568
1530	39546	7542
1531	39570	7516
1532	39595	7490
1533	39620	7464
1534	39644	7438
1535	39667	7411
1536	39699	7387
1537	39724	7361
1538	39748	7334
1539	39770	7308
1540	39791	7281
1541	39816	7255
1542	39846	7230
1543	39872	7204
1544	39896	7178
1545	39921	7152
1546	39945	7126
1547	39969	7100
1548	39995	7074
1549	40022	7049
1550	40048	7023
1551	40072	6997
1552	40097	6971
1553	40128	6946
1554	40153	6920
1555	40174	6893
1556	40197	6867
1557	40222	6841
1558	40246	6815
1559	40276	6790
1560	40303	6764
1561	40329	6738
1562	40349	6711
1563	40374	6686
1564	40397	6659
1565	40421	6633
1566	40443	6607
1567	40467	6581
1568	40494	6555
1569	40529	6531
1570	40552	6504
1571	40579	6479
1572	40601	6452
1573	40626	6427
1574	40651	6400
1575	40679	6375
1576	40706	6349
1577	40729	6323
1578	40756	6298
1579	40782	6272
1580	40806	6246
1581	40829	6219
1582	40852	6193
1583	40874	6167
1584	40895	6140
1585	40916	6114
1586	40940	6088
1587	40968	6062
1588	40991	6036
1589	41016	6010
1590	41037	5984
1591	41062	5958
1592	41087	5932
1593	41111	5906
1594	41135	5880
1595	41159	5854
1596	41181	5827
1597	41204	5801
1598	41229	5775
1599	41256	5750
1600	41282	5724
1601	41305	5698
1602	41328	5672
1603	41356	5646
1604	41378	5620
1605	41400	5594
1606	41426	5568
1607	41448	5541
1608	41477	5516
1609	41498	5490
1610	41519	5463
1611	41546	5438
1612	41572	5412
1613	41596	5386
1614	41621	5360
1615	41646	5334
1616	41669	5308
1617	41690	5282
1618	41715	5256
1619	41738	5230
1620	41766	5204
1621	41793	5179
1622	41816	5152
1623	41839	5126
1624	41863	5100
1625	41883	5074
1626	41909	5048
1627	41933	5022
1628	41957	4996
1629	41979	4970
1630	42002	4944
1631	42027	4918
1632	42054	4893
1633	42083	4867
1634	42109	4841
1635	42133	4816
1636	42157	4790
1637	42179	4763
1638	42205	4738
1639	42228	4712
1640	42251	4686
1641	42273	4659
1642	42296	4633
1643	42319	4607
1644	42343	4581
1645	42364	4555
1646	42389	4529
